,Song,Artist,artist_trunc,search_term,lyrics_raw
295,Without You,Motley Crue,Motley Crue,Without You Motley Crue,error
296,Swing the Mood,Jive Bunny and the Mastermixers,Jive Bunny,Swing the Mood Jive Bunny,error
297,Thieves in the Temple,Prince,Prince,Thieves in the Temple Prince,error
298,Mentirosa,Mellow Man Ace,Mellow Man,Mentirosa Mellow Man,error
299,Tic-Tac-Toe,Kyper,Kyper,Tic-Tac-Toe Kyper,error
300,When Doves Cry,Prince,Prince,When Doves Cry Prince,error
301,What's Love Got to Do with It,Tina Turner,Tina Turner,What's Love Got to Do with It Tina Turner,error
302,Say Say Say,Paul McCartney and Michael Jackson,Paul McCartney,Say Say Say Paul McCartney,error
303,Footloose,Kenny Loggins,Kenny Loggins,Footloose Kenny Loggins,error
304,Against All Odds (Take a Look at Me Now),Phil Collins,Phil Collins,Against All Odds (Take a Look at Me Now) Phil Collins,error
305,Jump,Van Halen,Van Halen,Jump Van Halen,error
306,Hello,Lionel Richie,Lionel Richie,Hello Lionel Richie,error
307,Owner of a Lonely Heart,Yes,Yes,Owner of a Lonely Heart Yes,error
308,Ghostbusters,Ray Parker Jr.,Ray Parker,Ghostbusters Ray Parker,error
309,Karma Chameleon,Culture Club,Culture Club,Karma Chameleon Culture Club,error
310,Missing You,John Waite,John Waite,Missing You John Waite,error
311,All Night Long (All Night),Lionel Richie,Lionel Richie,All Night Long (All Night) Lionel Richie,error
312,Let's Hear It for the Boy,Deniece Williams,Deniece Williams,Let's Hear It for the Boy Deniece Williams,error
313,Dancing in the Dark,Bruce Springsteen,Bruce Springsteen,Dancing in the Dark Bruce Springsteen,error
314,Girls Just Want To Have Fun,Cyndi Lauper,Cyndi Lauper,Girls Just Want To Have Fun Cyndi Lauper,error
315,The Reflex,Duran Duran,Duran Duran,The Reflex Duran Duran,error
316,Time After Time,Cyndi Lauper,Cyndi Lauper,Time After Time Cyndi Lauper,error
317,Jump (For My Love),The Pointer Sisters,The Pointer,Jump (For My Love) The Pointer,error
318,Talking in Your Sleep,The Romantics,The Romantics,Talking in Your Sleep The Romantics,error
319,Self Control,Laura Branigan,Laura Branigan,Self Control Laura Branigan,error
320,Let's Go Crazy,Prince and The Revolution,Prince and,Let's Go Crazy Prince and,error
321,Say It Isn't So,Hall & Oates,Hall &,Say It Isn't So Hall &,error
322,Hold Me Now,Thompson Twins,Thompson Twins,Hold Me Now Thompson Twins,error
323,Joanna,Kool & The Gang,Kool &,Joanna Kool &,error
324,I Just Called to Say I Love You,Stevie Wonder,Stevie Wonder,I Just Called to Say I Love You Stevie Wonder,error
325,Somebody's Watching Me,Rockwell,Rockwell,Somebody's Watching Me Rockwell,error
326,Break My Stride,Matthew Wilder,Matthew Wilder,Break My Stride Matthew Wilder,error
327,99 Luftballons,Nena,Nena,99 Luftballons Nena,error
328,I Can Dream About You,Dan Hartman,Dan Hartman,I Can Dream About You Dan Hartman,error
329,The Glamorous Life,Sheila E.,Sheila E.,The Glamorous Life Sheila E.,error
330,Oh Sherrie,Steve Perry,Steve Perry,Oh Sherrie Steve Perry,error
331,Stuck on You,Lionel Richie,Lionel Richie,Stuck on You Lionel Richie,error
